date,week,n_weeks,firm,sample,type_rv,type_lv,type_a,dem,n_dem,var_poll
2018-06-22,30,49,Ipsos,955,TRUE,FALSE,FALSE,0.5417721518987342,517,0.0084358425853661035
2018-06-21,30,49,YouGov,1568,FALSE,FALSE,TRUE,0.5263157894736842,825,0.005116213151927437
2018-06-23,30,49,Ipsos,936,TRUE,FALSE,FALSE,0.5263835263835265,493,0.008570872958762297
2018-06-23,30,49,MorningCnslt,1611,TRUE,FALSE,FALSE,0.5432098765432098,875,0.0025016128368083677
2018-06-24,30,49,Ipsos,951,TRUE,FALSE,FALSE,0.5227272727272728,497,0.008429614245003082
2018-06-25,30,49,YouGov,1027,TRUE,FALSE,FALSE,0.5308641975308642,545,0.003909736979163563
2018-06-25,30,49,Ipsos,950,TRUE,FALSE,FALSE,0.5317258883248731,505,0.008455093921621292
2018-06-24,30,49,HarrsIntrctv,1173,TRUE,FALSE,FALSE,0.5555555555555556,652,0.003452685421994885
2018-06-25,30,49,IBD/TIPP,755,TRUE,FALSE,FALSE,0.5454545454545454,412,0.005342163355408388
2018-06-26,31,49,Ipsos,1430,TRUE,FALSE,FALSE,0.5632911392405063,805,0.005685504855021221
2018-06-26,31,49,RsmRprts/POR,2150,FALSE,TRUE,FALSE,0.5348837209302325,1150,0.0018695652173913039
2018-06-27,31,49,Ipsos,1699,TRUE,FALSE,FALSE,0.5564005069708491,945,0.004769337526888866
2018-06-28,31,49,Ipsos,1740,TRUE,FALSE,FALSE,0.5631313131313131,980,0.004672186315406542
2018-06-29,31,49,QnnpcUnvrsty,928,TRUE,FALSE,FALSE,0.5494505494505495,510,0.004352922624053826
2018-06-28,31,49,MorningCnslt,1552,TRUE,FALSE,FALSE,0.5512820512820513,856,0.002604719662979073
2018-06-29,31,49,Ipsos,1730,TRUE,FALSE,FALSE,0.5641677255400255,976,0.004701714640372184
2018-06-29,31,49,ThWshngtnPst,1237,TRUE,FALSE,FALSE,0.5595238095238095,692,0.00328011666355979
2018-06-30,31,49,Ipsos,1766,TRUE,FALSE,FALSE,0.5612244897959183,991,0.004598967099954747
2018-07-01,31,49,Ipsos,1316,TRUE,FALSE,FALSE,0.5314505776636713,699,0.006103174904893252
2018-07-02,31,49,YouGov,1007,TRUE,FALSE,FALSE,0.525,529,0.003982150012568661
2018-07-02,31,49,Ipsos,1090,TRUE,FALSE,FALSE,0.5460358056265985,595,0.0074021993292284925
2018-07-03,32,49,RsmRprts/POR,2200,FALSE,TRUE,FALSE,0.5454545454545454,1200,0.0018333333333333333
2018-07-03,32,49,Ipsos,1083,TRUE,FALSE,FALSE,0.5555555555555556,602,0.007479224376731302
2018-07-04,32,49,Ipsos,1095,TRUE,FALSE,FALSE,0.5404364569961488,592,0.007354034608526213
2018-07-05,32,49,Ipsos,1063,TRUE,FALSE,FALSE,0.5501905972045744,585,0.00760247564413247
2018-07-06,32,49,Ipsos,1081,TRUE,FALSE,FALSE,0.5782227784730913,625,0.007586229622095965
2018-07-07,32,49,Ipsos,1051,TRUE,FALSE,FALSE,0.5780274656679151,607,0.007801796543252595
2018-07-06,32,49,EmersonCollg,819,TRUE,FALSE,FALSE,0.5384615384615384,441,0.004913076341647769
2018-07-08,32,49,MorningCnslt,1579,TRUE,FALSE,FALSE,0.5316455696202531,840,0.002543437312278351
2018-07-08,32,49,Ipsos,1045,TRUE,FALSE,FALSE,0.5774473358116481,603,0.007843691046140428
2018-07-09,32,49,Ipsos,1025,TRUE,FALSE,FALSE,0.590686274509804,605,0.008070360644968539
2018-07-09,32,49,YouGov,997,TRUE,FALSE,FALSE,0.525,523,0.004022091336666641
2018-07-10,33,49,Fox News,886,TRUE,FALSE,FALSE,0.5454545454545454,483,0.0045522949586155005
2018-07-10,33,49,Ipsos,1014,TRUE,FALSE,FALSE,0.581081081081081,589,0.00810261737031891
2018-07-10,33,49,RsmRprts/POR,2175,FALSE,TRUE,FALSE,0.5287356321839081,1150,0.0018451749734888655
2018-07-11,33,49,Ipsos,1034,TRUE,FALSE,FALSE,0.5733830845771144,593,0.007907268918324007
2018-07-12,33,49,Ipsos,1071,TRUE,FALSE,FALSE,0.5842839036755386,626,0.007688113073915877
2018-07-13,33,49,Ipsos,999,TRUE,FALSE,FALSE,0.5827984595635429,582,0.008233798013533694
2018-07-14,33,49,Ipsos,1472,TRUE,FALSE,FALSE,0.5612244897959183,826,0.005517510800625057
2018-07-13,33,49,MorningCnslt,1633,TRUE,FALSE,FALSE,0.5487804878048781,896,0.002473018027212761
2018-07-15,33,49,Ipsos,1855,TRUE,FALSE,FALSE,0.5527318932655654,1025,0.004361176125977687
2018-07-16,33,49,YouGov,1043,TRUE,FALSE,FALSE,0.5487804878048781,572,0.0038719448115421273
2018-07-16,33,49,Ipsos,1883,TRUE,FALSE,FALSE,0.5360303413400759,1009,0.004270716292336152
2018-07-17,34,49,NBCNws/WllSJ,828,TRUE,FALSE,FALSE,0.532608695652174,441,0.004851553024310498
2018-07-17,34,49,Ipsos,1912,TRUE,FALSE,FALSE,0.5247776365946634,1004,0.0041944007135253465
2018-07-17,34,49,RsmRprts/POR,2175,FALSE,TRUE,FALSE,0.5402298850574713,1175,0.0018510638297872333
2018-07-18,34,49,Ipsos,1953,TRUE,FALSE,FALSE,0.5253807106598984,1026,0.0041068443565487256
2018-07-19,34,49,Ipsos,1493,TRUE,FALSE,FALSE,0.5234474017743979,781,0.00537014852993326
2018-07-20,34,49,Ipsos,985,TRUE,FALSE,FALSE,0.5184713375796178,511,0.0081329269146528
2018-07-21,34,49,Ipsos,997,TRUE,FALSE,FALSE,0.5441741357234315,543,0.008087196155551916
2018-07-21,34,49,MaristColleg,803,TRUE,FALSE,FALSE,0.5402298850574713,434,0.005013778119286715
2018-07-21,34,49,MorningCnslt,1577,TRUE,FALSE,FALSE,0.5189873417721519,818,0.0025401246903701546
2018-07-20,34,49,QnnpcUnvrsty,1059,TRUE,FALSE,FALSE,0.5666666666666667,600,0.003845512927332623
2018-07-22,34,49,Ipsos,924,TRUE,FALSE,FALSE,0.5346784363177806,494,0.00869985824541738
2018-07-23,34,49,Ipsos,924,TRUE,FALSE,FALSE,0.5333333333333333,493,0.008696660482374767
2018-07-23,34,49,GrnbrgQnlnRs,873,TRUE,FALSE,FALSE,0.5517241379310345,481,0.004631465327341616
2018-07-23,34,49,YouGov,985,TRUE,FALSE,FALSE,0.5365853658536586,528,0.004082772690841085
2018-07-24,35,49,RsmRprts/POR,2150,FALSE,TRUE,FALSE,0.5348837209302325,1150,0.0018695652173913039
2018-07-24,35,49,Ipsos,934,TRUE,FALSE,FALSE,0.5218508997429305,487,0.00858170022933155
2018-07-25,35,49,Ipsos,1246,TRUE,FALSE,FALSE,0.5185659411011524,646,0.00642941046758084
2018-07-24,35,49,HarrsIntrctv,1045,TRUE,FALSE,FALSE,0.5443037974683544,569,0.0038580418629378227
2018-07-26,35,49,Ipsos,1225,TRUE,FALSE,FALSE,0.5217948717948718,639,0.006543044459551545
2018-07-27,35,49,Ipsos,1209,TRUE,FALSE,FALSE,0.5251612903225806,635,0.006633838155577286
2018-07-26,35,49,YouGov,1839,FALSE,FALSE,TRUE,0.5263157894736842,968,0.004362274182828832
2018-07-28,35,49,Ipsos,1218,TRUE,FALSE,FALSE,0.5210727969348659,634,0.006579831932773109
2018-07-28,35,49,MorningCnslt,1614,TRUE,FALSE,FALSE,0.5432098765432098,877,0.002496962998821735
2018-07-29,35,49,Ipsos,1222,TRUE,FALSE,FALSE,0.538560411311054,658,0.006585814776641461
2018-07-30,35,49,Ipsos,1026,TRUE,FALSE,FALSE,0.5427461139896373,557,0.007854680192525491
2018-07-30,35,49,IBD/TIPP,790,TRUE,FALSE,FALSE,0.5,395,0.005063291139240506
2018-07-30,35,49,YouGov,1021,TRUE,FALSE,FALSE,0.5238095238095238,535,0.0039266316445552485
2018-07-31,36,49,RsmRprts/POR,2150,FALSE,TRUE,FALSE,0.5232558139534884,1125,0.0018644986449864501
2018-07-31,36,49,Ipsos,1051,TRUE,FALSE,FALSE,0.5632911392405063,592,0.007735748756118311
2018-08-01,36,49,Ipsos,1078,TRUE,FALSE,FALSE,0.5614035087719298,605,0.007534786641929498
2018-08-01,36,49,USCDrnsf/LAT,2361,FALSE,TRUE,FALSE,0.5416666666666666,1279,0.0017060449080779452
2018-07-31,36,49,YouGov,2254,TRUE,FALSE,FALSE,0.54216867469879515,1222,0.0017873358344100423
2018-08-02,36,49,Ipsos,1149,TRUE,FALSE,FALSE,0.5531914893617021,636,0.007042275971779888
2018-08-03,36,49,Ipsos,1193,TRUE,FALSE,FALSE,0.5328376703841388,636,0.006734832758462984
2018-08-04,36,49,Ipsos,1206,TRUE,FALSE,FALSE,0.5370370370370371,648,0.006670097786927432
2018-08-04,36,49,MorningCnslt,1555,TRUE,FALSE,FALSE,0.5384615384615384,837,0.00258765885775532
2018-08-05,36,49,Ipsos,1186,TRUE,FALSE,FALSE,0.5149625935162095,611,0.0067514085631575176
2018-08-06,36,49,Ipsos,1184,TRUE,FALSE,FALSE,0.5353159851301116,634,0.006790634384384383
2018-08-06,36,49,YouGov,1091,TRUE,FALSE,FALSE,0.5176470588235295,565,0.003670933926237854
2018-08-05,36,49,PewRsrchCntr,3000,TRUE,FALSE,FALSE,0.5411764705882353,1834,0.0013424377554812337
2018-08-07,37,49,ZIntrctv/JZA,782,FALSE,TRUE,FALSE,0.5194805194805194,406,0.005122865832584504
2018-08-07,37,49,Ipsos,1114,TRUE,FALSE,FALSE,0.5544554455445544,618,0.007267532985665839
2018-08-07,37,49,RsmRprts/POR,2225,FALSE,TRUE,FALSE,0.5393258426966292,1200,0.001808943089430894
2018-08-08,37,49,Ipsos,961,TRUE,FALSE,FALSE,0.5835411471321696,561,0.008563731151853556
2018-08-11,37,49,CNN/SSRS,857,TRUE,FALSE,FALSE,0.5591397849462365,479,0.004733668869764724
2018-08-11,37,49,QnnpcUnvrsty,1093,TRUE,FALSE,FALSE,0.5483870967741935,599,0.0036942498865969076
2018-08-11,37,49,Ipsos,1513,TRUE,FALSE,FALSE,0.5517241379310345,835,0.0053447048655244295
2018-08-11,37,49,MorningCnslt,1594,TRUE,FALSE,FALSE,0.525,837,0.0025156995374257473
2018-08-12,37,49,Ipsos,420,FALSE,TRUE,FALSE,0.4873949579831932,205,0.019059732428867535
2018-08-13,37,49,YouGov,1046,TRUE,FALSE,FALSE,0.5238095238095238,548,0.00383278289588041
2018-08-12,37,49,HarrsIntrctv,749,TRUE,FALSE,FALSE,0.5733333333333334,430,0.005457858540068927
2018-08-13,37,49,Ipsos,557,FALSE,TRUE,FALSE,0.4822085889570552,268,0.014380865240407862
